season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Main,G2_Esports,Wunder,14,8,6,57.1,2.71,3.07,6.21,2.91,255.21,7.99,12.2,382,12500,392,54.8,16.7,20.9
10,Main,Gen_2e-G,Bdd,9,5,4,55.6,2.89,2.67,4.89,2.92,267.56,8.34,13.2,411,14200,441,59.3,22,22.6
10,Main,Gen_2e-G,Clid,9,5,4,55.6,2.56,3.44,5.78,2.42,196.67,6.13,11.2,350,11200,348,63.6,19.5,19.3
10,Main,Gen_2e-G,Life,9,5,4,55.6,1.11,3.67,7.11,2.24,28.44,0.89,7.4,232,4700,147,62.7,8.5,12.8
10,Main,Gen_2e-G,Rascal,9,5,4,55.6,2.89,4.11,5.11,1.95,253.11,7.89,12.4,385,13600,423,61,22,21.2
10,Main,Gen_2e-G,Ruler,9,5,4,55.6,3.67,2.33,5.33,3.86,292.11,9.11,14,438,22000,687,68.6,28,24.1
10,Main,JD_Gaming,Kanavi,10,5,5,50,2.6,3.1,6.7,3,204.2,6.83,10.8,360,12000,402,67.9,19,19.7
10,Main,JD_Gaming,LokeN,10,5,5,50,3.3,1.9,6.3,5.05,262.1,8.77,12.4,416,13800,463,70.1,24.1,22.8
10,Main,JD_Gaming,LvMao,10,5,5,50,1.7,3.8,7.8,2.5,40.9,1.37,7.4,248,6200,206,69.3,12.4,13.6
10,Main,JD_Gaming,Yagao,10,5,5,50,2.3,2.6,6.8,3.5,240.1,8.04,11.5,385,12200,409,66.4,16.8,21.1
10,Main,JD_Gaming,Zoom,10,5,5,50,3.8,3.5,4.1,2.26,248.8,8.33,12.4,416,13100,437,57.7,27.7,22.8
10,Main,LGD_Gaming,Kramer,6,3,3,50,2.17,2,7.33,4.75,310.5,8.58,14.2,392,15400,426,67.9,15.5,22.5
10,Main,LGD_Gaming,Langx,6,3,3,50,3.17,2.83,5,2.88,291.67,8.06,13.6,375,14900,410,58.3,22.6,21.5
10,Main,LGD_Gaming,Mark,6,3,3,50,1.5,4.67,6.67,1.75,47.5,1.31,8.4,232,6200,171,58.3,10.7,13.3
10,Main,LGD_Gaming,Peanut,6,3,3,50,2.17,2.17,6.83,4.15,227.17,6.28,12,333,13200,364,64.3,15.5,19.1
10,Main,LGD_Gaming,xiye,6,3,3,50,5,2.5,5.67,4.27,310.5,8.58,14.8,410,19200,529,76.2,35.7,23.5
10,Main,Machi_Esports,Bruce,6,1,5,16.7,1.33,3,3.83,1.72,296.67,9.05,12.8,392,15800,482,57.4,14.8,24
10,Main,Machi_Esports,Gemini,6,1,5,16.7,3.17,3.17,3,1.95,163,4.97,10.1,308,7900,240,68.5,35.2,18.9
10,Main,Machi_Esports,Koala,6,1,5,16.7,0.33,3.83,4.5,1.26,48.83,1.49,6.8,209,4800,147,53.7,3.7,12.8
10,Main,Machi_Esports,Mission,6,1,5,16.7,2.33,3.67,3,1.45,288.67,8.81,12.4,380,13800,421,59.3,25.9,23.3
10,Main,Machi_Esports,PK,6,1,5,16.7,1.83,3.5,4.33,1.76,231.83,7.07,11.3,344,11700,357,68.5,20.4,21.1
10,Main,PSG_Talon,Hanabi,6,2,4,33.3,0.67,2.33,2.83,1.5,226.5,8.14,9.8,353,9000,324,55.3,10.5,21.7
10,Main,PSG_Talon,Kaiwing,6,2,4,33.3,0.5,2.33,4.33,2.07,37.33,1.34,6.2,222,2700,97,76.3,7.9,13.6
10,Main,PSG_Talon,River,6,2,4,33.3,1.83,2.5,3.5,2.13,170.67,6.13,9.1,327,6700,240,84.2,28.9,20.1
10,Main,PSG_Talon,Tank,6,2,4,33.3,1.67,2,2.33,2,246,8.84,10.1,364,9700,348,63.2,26.3,22.3
10,Main,PSG_Talon,Unified,6,2,4,33.3,1.67,2,2.67,2.17,229.83,8.26,10.1,364,11000,395,68.4,26.3,22.3
